"","people_id","name","session","party_id","party","role_id","role","district","NBillsCosponsored","NBillsPrimary","MeanPos","MedianPos","GOP","DEM","IND","Female","LittleLeader","BigLeader"
"WPSA.L.79.15",8515,"Kelvin Atkinson",79,1,"D",2,"Sen","SD-004",78,11,6.93589743589744,5,0,1,0,0,1,0
"WPSA.L.80.12",8515,"Kelvin Atkinson",80,1,"D",2,"Sen","SD-004",18,5,5,3.5,0,1,0,0,0,0
"WPSA.L.77.27",8516,"David Bobzien",77,1,"D",1,"Rep","HD-024",86,14,6.56976744186047,4,0,1,0,0,1,1
"WPSA.L.78.20",8516,"David Bobzien",78,1,"D",1,"Rep","HD-024",4,1,2.25,2.5,0,1,0,0,0,0
"WPSA.L.77.28",8518,"Pete Goicoechea",77,2,"R",2,"Sen","SD-019",100,14,9.17,6,1,0,0,0,0,0
"WPSA.L.78.21",8518,"Pete Goicoechea",78,2,"R",2,"Sen","SD-019",61,12,8.13114754098361,5,1,0,0,0,0,0
"WPSA.L.79.16",8518,"Pete Goicoechea",79,2,"R",2,"Sen","SD-019",58,12,8.25862068965517,6,1,0,0,0,0,0
"WPSA.L.80.13",8518,"Pete Goicoechea",80,2,"R",2,"Sen","SD-019",52,14,5.61538461538461,3,1,0,0,0,0,0
"WPSA.L.81.9",8518,"Pete Goicoechea",81,2,"R",2,"Sen","SD-019",54,10,5.77777777777778,4,1,0,0,0,0,0
"WPSA.L.82.6",8518,"Pete Goicoechea",82,2,"R",2,"Sen","SD-019",71,14,4.8169014084507,3,1,0,0,0,0,0
"WPSA.L.77.29",8519,"Harvey Munford",77,1,"D",1,"Rep","HD-006",83,13,14.3493975903614,11,0,1,0,0,0,0
"WPSA.L.78.22",8519,"Harvey Munford",78,1,"D",1,"Rep","HD-006",48,8,13.0833333333333,12,0,1,0,0,0,0
"WPSA.L.77.30",8525,"Joyce Woodhouse",77,1,"D",2,"Sen","SD-005",85,10,14.8941176470588,11,0,1,0,1,0,0
"WPSA.L.78.23",8525,"Joyce Woodhouse",78,1,"D",2,"Sen","SD-005",104,15,8.27884615384615,4,0,1,0,1,0,0
"WPSA.L.79.17",8525,"Joyce Woodhouse",79,1,"D",2,"Sen","SD-005",121,22,10.099173553719,8,0,1,0,1,1,1
"WPSA.L.80.14",8525,"Joyce Woodhouse",80,1,"D",2,"Sen","SD-005",110,25,7.28181818181818,6,0,1,0,1,1,0
"WPSA.L.81.10",8525,"Joyce Woodhouse",81,1,"D",2,"Sen","SD-005",1,0,4,4,0,1,0,1,0,0
"WPSA.L.77.31",8540,"Steven Horsford",77,1,"D",2,"Sen","SD-004",4,2,5.25,4,0,1,0,0,0,0
"WPSA.L.77.32",8542,"Michael Schneider",77,1,"D",2,"Sen","SD-011",1,0,8,8,0,1,0,0,0,0
"WPSA.L.77.33",8557,"Barbara Cegavske",77,2,"R",2,"Sen","SD-008",86,23,7.77906976744186,3,1,0,0,1,0,0
"WPSA.L.77.34",8563,"David Parks",77,1,"D",2,"Sen","SD-007",109,20,10.348623853211,5,0,1,0,0,1,1
"WPSA.L.78.24",8563,"David Parks",78,1,"D",2,"Sen","SD-007",113,18,6.70796460176991,4,0,1,0,0,0,0
"WPSA.L.79.18",8563,"David Parks",79,1,"D",2,"Sen","SD-007",134,21,7.95522388059702,5,0,1,0,0,0,0
"WPSA.L.80.15",8563,"David Parks",80,1,"D",2,"Sen","SD-007",130,26,4.83846153846154,3,0,1,0,0,0,0
"WPSA.L.81.11",8563,"David Parks",81,1,"D",2,"Sen","SD-007",1,0,5,5,0,1,0,0,0,0
"WPSA.L.77.35",8566,"Allison Copening",77,1,"D",2,"Sen","SD-006",1,1,1,1,0,1,0,1,0,0
"WPSA.L.77.36",8570,"Elliot Anderson",77,1,"D",1,"Rep","HD-015",72,7,6.59722222222222,4,0,1,0,0,0,0
"WPSA.L.78.25",8570,"Elliot Anderson",78,1,"D",1,"Rep","HD-015",60,10,5.96666666666667,5,0,1,0,0,0,0
"WPSA.L.79.19",8570,"Elliot Anderson",79,1,"D",1,"Rep","HD-015",27,9,5.96296296296296,2,0,1,0,0,0,0
"WPSA.L.80.16",8570,"Elliot Anderson",80,1,"D",1,"Rep","HD-015",3,1,3.33333333333333,3,0,1,0,0,0,0
"WPSA.L.77.37",12092,"Pete Livermore",77,2,"R",1,"Rep","HD-040",110,11,12.2909090909091,9,1,0,0,0,0,0
"WPSA.L.77.38",12093,"Ben Kieckhefer",77,2,"R",2,"Sen","SD-016",71,16,12.0281690140845,9,1,0,0,0,1,0
"WPSA.L.78.26",12093,"Ben Kieckhefer",78,2,"R",2,"Sen","SD-016",46,18,7.34782608695652,2,1,0,0,0,1,0
"WPSA.L.79.20",12093,"Ben Kieckhefer",79,2,"R",2,"Sen","SD-016",47,11,10.2127659574468,4,1,0,0,0,1,0
"WPSA.L.80.17",12093,"Ben Kieckhefer",80,2,"R",2,"Sen","SD-016",50,14,7.1,4.5,1,0,0,0,0,0
"WPSA.L.81.12",12093,"Ben Kieckhefer",81,2,"R",2,"Sen","SD-016",55,14,7.10909090909091,6,1,0,0,0,0,0
"WPSA.L.82.7",12093,"Ben Kieckhefer",82,2,"R",2,"Sen","SD-016",1,0,17,17,1,0,0,0,0,0
"WPSA.L.77.39",12094,"Richard Carrillo",77,1,"D",1,"Rep","HD-018",65,10,7.49230769230769,5,0,1,0,0,0,0
