"first_name","people_id","name","middle_name","last_name","nickname","party_id","party","role_id","role","district","followthemoney_eid","votesmart_id","opensecrets_id","ballotpedia","knowwho_pid","committee_id","gender","Female"
"Kelvin",8515,"Kelvin Atkinson","","Atkinson","",1,"D",2,"Sen","SD-004",6395703,22746,NA,"Kelvin_Atkinson",211794,0,"male",0
"Ken",24697,"Ken Gray","","Gray","",2,"R",1,"Rep","HD-039",9697333,187391,NA,"Ken_Gray_(Nevada)",385780,0,"male",0
"Kyle",17979,"Kyle Stephens","","Stephens","",2,"R",1,"Rep","HD-005",0,0,NA,"Kyle_Stephens_(Nevada)",600516,0,"male",0
"Lesley",15869,"Lesley Cohen","E.","Cohen","",1,"D",1,"Rep","HD-029",9714575,144671,NA,"Lesley_Cohen",446921,0,"female",1
"Lisa",19226,"Lisa Krasner","","Krasner","",2,"R",1,"Rep","HD-026",23594320,155017,NA,"Lisa_Krasner",490319,0,"female",1
"Lucy",12097,"Lucy Flores","","Flores","",1,"D",1,"Rep","HD-028",13009092,148998,NA,"Lucy_Flores",310113,0,"female",1
"Lynn",8472,"Lynn Stewart","","Stewart","",2,"R",1,"Rep","HD-022",6665910,43796,NA,"Lynn_Stewart",249429,0,"male",0
"Maggie",8506,"Maggie Carlton","","Carlton","",1,"D",1,"Rep","HD-014",6395718,22822,NA,"Maggie_Carlton",197518,0,"female",1
"Marcia",21338,"Marcia Washington","L.","Washington","",1,"D",2,"Sen","SD-004",6561178,186273,NA,"Marcia_Washington",266330,0,"female",1
"Marcus",8494,"Marcus Conklin","","Conklin","",1,"D",1,"Rep","HD-037",6395527,44090,NA,"Marcus_Conklin",211803,0,"male",0
"Marilyn",8496,"Marilyn Dondero Loop","","Dondero Loop","",1,"D",2,"Sen","SD-008",6491157,106888,NA,"Marilyn_Dondero_Loop",407374,0,"female",1
"Marilyn",8498,"Marilyn Kirkpatrick","K.","Kirkpatrick","",1,"D",1,"Rep","HD-001",6465052,44045,NA,"Marilyn_Kirkpatrick",227665,0,"female",1
"Mark",8474,"Mark Manendo","","Manendo","",1,"D",2,"Sen","SD-021",13009051,9059,NA,"Mark_Manendo",197568,0,"male",0
"Mark",8560,"Mark Amodei","E.","Amodei","",2,"R",2,"Sen","SD-CAP",6596644,12537,NA,"Mark_Amodei",197540,0,"male",0
"Mark",12091,"Mark Sherwood","","Sherwood","",2,"R",1,"Rep","HD-021",13009065,121876,NA,"Mark_Sherwood",310072,0,"male",0
"Mark",15879,"Mark Hutchison","A.","Hutchison","",2,"R",2,"Sen","SD-006",9699673,137689,NA,"Mark_Hutchison",407305,0,"male",0
"Mark",17526,"Mark Lipparelli","","Lipparelli","",2,"R",2,"Sen","SD-006",0,156162,NA,"Mark_Lipparelli",523066,0,"male",0
"Maurice",8553,"Maurice Washington","E.","Washington","",2,"R",2,"Sen","SD-002",6596596,2631,NA,"Maurice_Washington",197537,0,"male",0
"Max",24823,"Max Carter","","Carter","",1,"D",1,"Rep","HD-012",55496475,204180,NA,"Max_Carter_II",806534,0,"male",0
