"first_name","people_id","name","middle_name","last_name","nickname","party_id","party","role_id","role","district","followthemoney_eid","votesmart_id","opensecrets_id","ballotpedia","knowwho_pid","committee_id","gender","Female"
"Selena",21185,"Selena Torres","Elizabeth","Torres","",1,"D",1,"Rep","HD-003",45285543,180952,NA,"Selena_Torres",659267,0,"female",1
"Selena",24701,"Selena La Rue Hatch","","La Rue Hatch","",1,"D",1,"Rep","HD-025",55496530,204239,NA,"Selena_La_Rue_Hatch",806817,0,"female",1
"Shannon",19221,"Shannon Bilbray-Axelrod","","Bilbray-Axelrod","",1,"D",1,"Rep","HD-034",39827435,169567,NA,"Shannon_Bilbray-Axelrod",279961,0,"female",1
"Shea",21174,"Shea Backus","","Backus","",1,"D",1,"Rep","HD-037",45285418,181004,NA,"Shea_Backus",669450,0,"female",1
"Sheila",8488,"Sheila Leslie","","Leslie","",1,"D",2,"Sen","SD-001",6395594,22723,NA,"Sheila_Leslie",197577,0,"female",1
"Shelly",17523,"Shelly Shelton","M.","Shelton","",2,"R",1,"Rep","HD-010",23560543,152792,NA,"Shelly_Shelton",491428,0,"female",1
"Shirley",8530,"Shirley Breeden","","Breeden","",1,"D",2,"Sen","SD-005",6491120,106861,NA,"Shirley_Breeden",271736,0,"female",1
"Shondra",22831,"Shondra Summers-Armstrong","","Summers-Armstrong","",1,"D",1,"Rep","HD-006",49742567,191102,NA,"Shondra_Summers-Armstrong",735927,0,"female",1
"Stephanie",17978,"Stephanie Smith","","Smith","",1,"D",1,"Rep","HD-001",6436478,181690,NA,"Stephanie_Smith_(Nevada)",600510,0,"female",1
"Stephen",17524,"Stephen Silberkraus","","Silberkraus","",2,"R",1,"Rep","HD-029",13789864,137805,NA,"Stephen_Silberkraus",407503,0,"male",0
"Steve",19233,"Steve Yeager","","Yeager","",1,"D",1,"Rep","HD-009",20540066,152786,NA,"Steve_Yeager",490284,0,"male",0
"Steven",8540,"Steven Horsford","","Horsford","",1,"D",2,"Sen","SD-004",13012984,44064,NA,"Steven_Horsford",227658,0,"male",0
"Steven",12210,"Steven Brooks","","Brooks","",1,"D",1,"Rep","HD-017",6508336,121866,NA,"Steven_Brooks",310010,0,"male",0
"Susan",21181,"Susan Martinez","","Martinez","Susie",1,"D",1,"Rep","HD-012",45285490,180968,NA,"Susan_Martinez",659338,0,"female",1
"Teresa",12209,"Teresa Benitez-Thompson","","Benitez-Thompson","",1,"D",1,"Rep","HD-027",6508382,121895,NA,"Teresa_Benitez-Thompson",310106,0,"female",1
"Terry",8551,"Terry Care","J.","Care","",1,"D",2,"Sen","SD-007",6384734,22764,NA,"Terry_Care",197529,0,"male",0
"Thaddeus",24705,"Thaddeus Yurek","","Yurek","Toby",2,"R",1,"Rep","HD-019",55496511,204202,NA,"Thaddeus_Yurek",806707,0,"male",0
"Thomas",21184,"Thomas Roberts","A.","Roberts","Tom",2,"R",1,"Rep","HD-013",45285517,180972,NA,"Tom_Roberts",659344,0,"male",0
"Tom",8467,"Tom Grady","","Grady","",2,"R",1,"Rep","HD-038",13009118,43822,NA,"Thomas_Grady_(Nevada)",211804,0,"male",0
"Tracy",22828,"Tracy Brown-May","","Brown-May","",1,"D",1,"Rep","HD-042",0,195813,NA,"Tracy_Brown-May",766387,0,"female",1
"Tyrone",16028,"Tyrone Thompson","","Thompson","",1,"D",1,"Rep","HD-017",23593086,144607,NA,"Tyrone_Thompson",457436,0,"male",0
"Tyrus",8492,"Tyrus Cobb","","Cobb","Ty",2,"R",1,"Rep","HD-026",13009081,66858,NA,"Tyrus_Cobb",249436,0,"male",0
"Valerie",8547,"Valerie Wiener","","Wiener","",1,"D",2,"Sen","SD-003",13012982,12490,NA,"Valerie_Wiener",197524,0,"female",1
"Venicia",22798,"Venicia Considine","","Considine","",1,"D",1,"Rep","HD-018",13009055,107008,NA,"Venicia_Considine",735974,0,"female",1
"Venise",25740,"Venise Karris","","Karris","",1,"D",1,"Rep","HD-010",59832317,215840,NA,"Venise_Karris",0,0,"female",1
"Victoria",16404,"Victoria Dooling","","Dooling","Vicki",2,"R",1,"Rep","HD-041",23594350,152852,NA,"Vicki_Dooling",490333,0,"female",1
"Victoria",17447,"Victoria Seaman","","Seaman","",2,"R",1,"Rep","HD-034",13789819,137717,NA,"Victoria_Seaman",490326,0,"female",1
"Wesley",15870,"Wesley Duncan","","Duncan","",2,"R",1,"Rep","HD-037",13789861,137797,NA,"Wesley_Duncan",407488,0,"male",0
"William",8497,"William Horne","","Horne","",1,"D",1,"Rep","HD-034",6395575,44062,NA,"William_Horne",211799,0,"male",0
"William",8541,"William Raggio","J.","Raggio","",2,"R",2,"Sen","SD-003",6639448,2624,NA,"Bill_Raggio",197538,0,"male",0
"William",19228,"William McCurdy","","McCurdy","",1,"D",1,"Rep","HD-006",39827571,169523,NA,"William_McCurdy_II",574126,0,"male",0
"Yvanna",19234,"Yvanna Cancela","D.","Cancela","",1,"D",2,"Sen","SD-010",43482942,176078,NA,"Yvanna_Cancela",609143,0,"female",1
